t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1637710421,58,1.559615,0.000000,0.000000,0.000000,events/second
1637710451,58,0.866671,0.000000,0.000000,0.000000,events/second
1637710481,58,0.598384,0.000000,0.000000,0.000000,events/second
1637710511,58,0.456980,0.000000,0.000000,0.000000,events/second
1637710541,58,0.369644,0.000000,0.000000,0.000000,events/second
1637710571,58,0.310297,0.000000,0.000000,0.000000,events/second
1637710601,58,0.267399,0.000000,0.000000,0.000000,events/second
1637710631,58,0.234899,0.000000,0.000000,0.000000,events/second
1637710661,58,0.209449,0.000000,0.000000,0.000000,events/second
1637710691,58,0.188978,0.000000,0.000000,0.000000,events/second
1637710721,58,0.172157,0.000000,0.000000,0.000000,events/second
1637710751,58,0.158085,0.000000,0.000000,0.000000,events/second
1637710781,58,0.146127,0.000000,0.000000,0.000000,events/second
1637710811,58,0.135867,0.000000,0.000000,0.000000,events/second
1637710841,58,0.126942,0.000000,0.000000,0.000000,events/second
1637710871,58,0.119124,0.000000,0.000000,0.000000,events/second
1637710901,58,0.112203,0.000000,0.000000,0.000000,events/second
